pos_x_center,pos_y_center,pos_x_upper,pos_y_upper,pos_x_lower,pos_y_lower,pos_seg_num
-6.539114,4.420945,-5.491422,14.453320,-7.586806,-5.611430,1.000000
-6.489053,4.396271,-5.438627,14.426768,-7.539479,-5.634226,1.000000
-6.438991,4.371504,-5.385831,14.400115,-7.492152,-5.657107,1.000000
-6.388930,4.346644,-5.333035,14.373362,-7.444825,-5.680074,1.000000
-6.338868,4.321691,-5.280239,14.346509,-7.397497,-5.703127,1.000000
-6.288807,4.296646,-5.227444,14.319557,-7.350170,-5.726265,1.000000
-6.238745,4.271508,-5.174648,14.292505,-7.302843,-5.749488,1.000000
-6.188684,4.246279,-5.121852,14.265354,-7.255516,-5.772796,1.000000
-6.138622,4.220958,-5.069056,14.238104,-7.208189,-5.796188,1.000000
-6.088561,4.195547,-5.016260,14.210757,-7.160861,-5.819664,1.000000
-6.038499,4.170044,-4.963465,14.183311,-7.113534,-5.843224,1.000000
-5.988438,4.144451,-4.910669,14.155769,-7.066207,-5.866867,1.000000
-5.938376,4.118768,-4.857873,14.128129,-7.018880,-5.890593,1.000000
-5.888315,4.092995,-4.805077,14.100392,-6.971552,-5.914402,1.000000
-5.838253,4.067133,-4.752282,14.072559,-6.924225,-5.938294,1.000000
-5.788192,4.041181,-4.699486,14.044630,-6.876898,-5.962268,1.000000
-5.738130,4.015141,-4.646690,14.016606,-6.829571,-5.986324,1.000000
-5.688069,3.989012,-4.593894,13.988486,-6.782244,-6.010461,1.000000
-5.638007,3.962796,-4.541098,13.960271,-6.734916,-6.034680,1.000000
-5.587946,3.936491,-4.488303,13.931962,-6.687589,-6.058979,1.000000
-5.537884,3.910100,-4.435507,13.903559,-6.640262,-6.083360,1.000000
-5.487823,3.883621,-4.382711,13.875062,-6.592935,-6.107820,1.000000
-5.437761,3.857055,-4.329915,13.846471,-6.545608,-6.132361,1.000000
-5.387700,3.830403,-4.277119,13.817788,-6.498280,-6.156981,1.000000
-5.337638,3.803665,-4.224324,13.789011,-6.450953,-6.181681,1.000000
-5.287577,3.776841,-4.171528,13.760142,-6.403626,-6.206460,1.000000
-5.237515,3.749932,-4.118732,13.731182,-6.356299,-6.231317,1.000000
-5.187454,3.722938,-4.065936,13.702129,-6.308971,-6.256254,1.000000
-5.137392,3.695859,-4.013141,13.672986,-6.261644,-6.281268,1.000000
-5.087331,3.668696,-3.960345,13.643751,-6.214317,-6.306360,1.000000
-5.037269,3.641448,-3.907549,13.614426,-6.166990,-6.331530,1.000000
-4.987208,3.614117,-3.854753,13.585011,-6.119663,-6.356777,1.000000
-4.937146,3.586703,-3.801957,13.555506,-6.072335,-6.382101,1.000000
-4.887085,3.559205,-3.749162,13.525912,-6.025008,-6.407502,1.000000
-4.837023,3.531625,-3.696366,13.496229,-5.977681,-6.432979,1.000000
-4.786962,3.503962,-3.643570,13.466456,-5.930354,-6.458532,1.000000
-4.736900,3.476218,-3.590774,13.436596,-5.883026,-6.484161,1.000000
-4.686839,3.448391,-3.537979,13.406647,-5.835699,-6.509865,1.000000
-4.636777,3.420484,-3.485183,13.376611,-5.788372,-6.535644,1.000000
-4.586716,3.392495,-3.432387,13.346488,-5.741045,-6.561498,1.000000
-4.536654,3.364426,-3.379591,13.316278,-5.693718,-6.587427,1.000000
-4.486593,3.336276,-3.326795,13.285981,-5.646390,-6.613429,1.000000
-4.436531,3.308046,-3.274000,13.255598,-5.599063,-6.639506,1.000000
-4.386470,3.279737,-3.221204,13.225130,-5.551736,-6.665656,1.000000
-4.336408,3.251348,-3.168408,13.194575,-5.504409,-6.691879,1.000000
-4.286347,3.222880,-3.115612,13.163936,-5.457081,-6.718176,1.000000
-4.236285,3.194334,-3.062816,13.133212,-5.409754,-6.744545,1.000000
-4.186224,3.165709,-3.010021,13.102404,-5.362427,-6.770986,1.000000
-4.136162,3.137006,-2.957225,13.071512,-5.315100,-6.797499,1.000000
-4.086101,3.108226,-2.904429,13.040536,-5.267773,-6.824084,1.000000
-4.036039,3.079368,-2.851633,13.009477,-5.220445,-6.850741,1.000000
-3.985978,3.050433,-2.798838,12.978335,-5.173118,-6.877468,1.000000
-3.935916,3.021422,-2.746042,12.947111,-5.125791,-6.904267,1.000000
-3.885855,2.992334,-2.693246,12.915804,-5.078464,-6.931135,1.000000
-3.835793,2.963171,-2.640450,12.884416,-5.031137,-6.958074,1.000000
-3.785732,2.933931,-2.587654,12.852946,-4.983809,-6.985083,1.000000
-3.735670,2.904617,-2.534859,12.821395,-4.936482,-7.012162,1.000000
-3.685609,2.875227,-2.482063,12.789763,-4.889155,-7.039309,1.000000
-3.635547,2.845763,-2.429267,12.758052,-4.841828,-7.066526,1.000000
-3.585486,2.816224,-2.376471,12.726260,-4.794500,-7.093811,1.000000
-3.535424,2.786612,-2.323676,12.694388,-4.747173,-7.121165,1.000000
-3.485363,2.756926,-2.270880,12.662437,-4.699846,-7.148586,1.000000
-3.435301,2.727166,-2.218084,12.630408,-4.652519,-7.176075,1.000000
-3.385240,2.697334,-2.165288,12.598300,-4.605192,-7.203632,1.000000
-3.335178,2.667429,-2.112492,12.566113,-4.557864,-7.231256,1.000000
-3.285117,2.637452,-2.059697,12.533849,-4.510537,-7.258946,1.000000
-3.235055,2.607402,-2.006901,12.501508,-4.463210,-7.286703,1.000000
-3.184994,2.577282,-1.954105,12.469089,-4.415883,-7.314526,1.000000
-3.134932,2.547089,-1.901309,12.436594,-4.368555,-7.342415,1.000000
-3.084871,2.516826,-1.848513,12.404022,-4.321228,-7.370370,1.000000
-3.034809,2.486493,-1.795718,12.371375,-4.273901,-7.398389,1.000000
-2.984748,2.456089,-1.742922,12.338652,-4.226574,-7.426474,1.000000
-2.934686,2.425615,-1.690126,12.305853,-4.179247,-7.454623,1.000000
-2.884625,2.395072,-1.637330,12.272980,-4.131919,-7.482837,1.000000
-2.834563,2.364459,-1.584535,12.240032,-4.084592,-7.511114,1.000000
-2.784502,2.333777,-1.531739,12.207010,-4.037265,-7.539456,1.000000
-2.734440,2.303027,-1.478943,12.173914,-3.989938,-7.567860,1.000000
-2.684379,2.272209,-1.426147,12.140745,-3.942610,-7.596328,1.000000
-2.634317,2.241322,-1.373351,12.107503,-3.895283,-7.624859,1.000000
-2.584256,2.210368,-1.320556,12.074188,-3.847956,-7.653452,1.000000
-2.534194,2.179347,-1.267760,12.040801,-3.800629,-7.682107,1.000000
-2.484133,2.148259,-1.214964,12.007342,-3.753302,-7.710824,1.000000
-2.434071,2.117104,-1.162168,11.973811,-3.705974,-7.739602,1.000000
-2.384010,2.085883,-1.109373,11.940209,-3.658647,-7.768442,1.000000
-2.333948,2.054597,-1.056577,11.906536,-3.611320,-7.797343,1.000000
-2.283887,2.023244,-1.003781,11.872792,-3.563993,-7.826304,1.000000
-2.233825,1.991827,-0.950985,11.838979,-3.516666,-7.855326,1.000000
